soaktime;soakpct;difftime;diffpct;y
0,58;1,1;0,25;0,9;0,013
0,66;1,1;0,33;0,9;0,016
0,66;1,1;0,33;0,9;0,015
0,66;1,1;0,33;0,95;0,016
0,66;1,15;0,33;1;0,015
0,66;1,15;0,33;1;0,016
1;1,1;0,5;0,8;0,014
1,17;1,1;0,58;0,8;0,021
1,17;1,1;0,58;0,8;0,018
1,17;1,1;0,58;0,8;0,019
1,17;1,1;0,58;0,9;0,021
1,17;1,1;0,58;0,9;0,019
1,17;1,15;0,58;0,9;0,021
1,2;1,15;1,1;0,8;0,025
2;1,15;1;0,8;0,025
2;1,1;1,1;0,8;0,026
2,2;1,1;1,1;0,8;0,024
2,2;1,1;1,1;0,8;0,025
2,2;1,5;1,1;0,8;0,024
2,2;1,1;1,1;0,9;0,025
2,2;1,1;1,1;0,9;0,027
2,2;1,1;1,5;0,9;0,026
3;1,15;1,5;0,8;0,029
3;1,1;1,5;0,7;0,03
3;1,1;1,5;0,75;0,028
3;1,15;1,66;0,85;0,032
3,33;1,1;1,5;0,8;0,033
4;1,1;1,5;0,7;0,039
4;1,1;1,5;0,7;0,04
4;1,15;1,5;0,85;0,035
12,5;1;1,5;0,7;0,056
18,5;1;1,5;0,7;0,068
